threshold,macro_precision,macro_recall,macro_specificity,macro_f1,micro_f1
0.15,0.125,1.0,0.0,0.2222,0.2222
0.16,0.125,1.0,0.0,0.2222,0.2222
0.17,0.125,1.0,0.0,0.2222,0.2222
0.18,0.125,1.0,0.0,0.2222,0.2222
0.19,0.125,1.0,0.0,0.2222,0.2222
0.2,0.1295,1.0,0.0357,0.2292,0.2286
0.21,0.1228,0.875,0.1072,0.2153,0.2154
0.22,0.1135,0.625,0.3036,0.1909,0.1923
0.23,0.1429,0.375,0.6964,0.1979,0.2143
0.24,0.025,0.125,0.9286,0.0417,0.1538
0.25,0.0,0.0,1.0,0.0,0.0
0.26,0.0,0.0,1.0,0.0,0.0
0.27,0.0,0.0,1.0,0.0,0.0
0.28,0.0,0.0,1.0,0.0,0.0
0.29,0.0,0.0,1.0,0.0,0.0
0.3,0.0,0.0,1.0,0.0,0.0
0.31,0.0,0.0,1.0,0.0,0.0
0.32,0.0,0.0,1.0,0.0,0.0
0.33,0.0,0.0,1.0,0.0,0.0
0.34,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.36,0.0,0.0,1.0,0.0,0.0
0.37,0.0,0.0,1.0,0.0,0.0
0.38,0.0,0.0,1.0,0.0,0.0
0.39,0.0,0.0,1.0,0.0,0.0
0.4,0.0,0.0,1.0,0.0,0.0
